doc ner ner_spacy text
0 O B-PERSON Kavya
0 O I-PERSON U.
0 O I-PERSON Network
0 O I-PERSON Ops
0 O I-PERSON Associate
0 O L-PERSON Accenture
0 O O Bengaluru
0 O B-PERSON Karnataka
0 O L-PERSON Email
0 O O me
0 O O on
0 O O Indeed
0 O O indeed.com/r/Kavya-U/049577580b3814e6
0 O O Seeking
0 O O for
0 O O opportunities
0 O O to
0 O O learn
0 O O and
0 O O grow
0 O O in
0 O O electronics
0 O O domain

0 O O WORK
0 O O EXPERIENCE
0 - O Network
0 - O Ops
0 - O Associate
0 O B-PERSON Accenture
0 O L-PERSON Bengaluru
0 O U-GPE Karnataka
0 O B-DATE December
0 O L-DATE 2017
0 O O to
0 O O Present
0 O O Exposure

0 O O Provisioning
0 O O of
0 O O different
0 O O types
0 O O of
0 O O network
0 O O speeds
0 O O for
0 O O multiple
0 O O clients

0 O O Use
0 O O of
0 O U-PERSON Mux
0 O O designing
0 O O for
0 O O Logical
0 O O cross
0 O O connect
0 O O and
0 O O Physical
0 O O patching

0 O O We
0 O O co-
0 O O ordinate
0 O O with
0 O O various
0 O O ops
0 O O and
0 O O field
0 O O engineers
0 O O to
0 O O do
0 O O the
0 O O connections
0 O O at
0 O O the
0 O O physical
0 O O level

0 O U-CARDINAL 2
0 O O Organisation
0 O B-ORG QuadGen
0 O I-ORG Wireless
0 O I-ORG Engineering
0 O I-ORG Services
0 O I-ORG Pvt

0 O L-ORG Ltd.
0 O U-PERSON Bangalore

0 O O Position
0 O O Network
0 O O Engineer
0 O O Experience
0 O B-DATE 1
0 O L-DATE year
0 O O Exposure

0 O U-ORG RAN
0 O B-ORG Radio
0 O I-ORG Access
0 O L-ORG Network
0 O U-PERSON Engineer

0 O O New
0 O O Site
0 O O Build
0 O U-ORG NSB
0 O U-CARDINAL 2
0 O O Organisation
0 O O Manipal
0 O O Dot
0 O O Net
0 O O Pvt

0 O O Ltd.
0 O U-PERSON Manipal

0 O O Position
0 O O Intern
0 O O Experience
0 O B-DATE 1
0 O L-DATE year
0 O O Exposure

0 O U-GPE Module
0 O O coding
0 O O and
0 O O verification
0 O O using
0 O U-GPE Verilog
0 O O HDL

0 O U-PERSON Worked
0 O O on
0 O O Linux
0 O O O.S.

0 O B-ORG Understanding
0 O I-ORG of
0 O L-ORG SPI
0 O O I2C
0 O O protocols

0 O O Compilation
0 O O using
0 O O Altera
0 O O Quartus

0 O O Simulation
0 O O using
0 O B-ORG ModelSim

0 O U-ORG Report
0 O O preparation
0 O O and
0 O O documentation
0 O O EDUCATION
0 - B-ORG Little
0 - I-ORG Rock
0 - I-ORG Indian
0 - L-ORG School
0 O U-DATE 2007
0 B-Degree O Master
0 I-Degree O of
0 I-Degree O Science
0 I-Degree O in
0 I-Degree O Technology
0 I-Degree O in
0 I-Degree O Technology
0 I-Degree O School
0 I-Degree O Of
0 I-Degree O Information
0 L-Degree O Sciences
0 O O VLSI
0 O O Design
0 O O https://www.indeed.com/r/Kavya-U/049577580b3814e6?isid=rex-download&ikw=download-top&co=IN
0 "B-College Name" O Manipal
0 "I-College Name" O Academy
0 "I-College Name" O of
0 "I-College Name" O Higher
0 "L-College Name" O Education
0 B-Degree O Bachelor
0 I-Degree O of
0 I-Degree O Engineering
